X,Y,Z,Movement,SegmentID
321,320,381,Resting,1
321,320,380,Resting,1
321,319,381,Resting,1
320,319,380,Resting,1
320,320,381,Resting,1
320,319,379,Resting,1
320,320,380,Resting,1
321,320,381,Resting,1
320,320,380,Resting,1
321,320,380,Resting,1
320,319,379,Resting,1
321,320,381,Resting,1
320,320,380,Resting,1
321,319,380,Resting,1
319,319,380,Resting,1
321,319,380,Resting,2
321,319,381,Resting,2
320,320,381,Resting,2
320,318,380,Resting,2
320,319,380,Resting,2
319,319,381,Resting,2
319,319,380,Resting,2
321,319,380,Resting,2
320,318,380,Resting,2
319,318,380,Resting,2
320,320,380,Resting,2
328,328,386,Resting,2
328,328,387,Resting,2
329,328,387,Resting,2
328,327,387,Resting,2
327,327,387,Resting,3
328,328,387,Resting,3
327,327,386,Resting,3
327,328,388,Resting,3
329,327,387,Resting,3
328,327,388,Resting,3
328,328,388,Resting,3
329,327,388,Resting,3
327,326,386,Resting,3
328,326,387,Resting,3
327,328,387,Resting,3
328,328,387,Resting,3
328,327,387,Resting,3
328,327,386,Resting,3
328,327,386,Resting,3
328,327,386,Resting,4
327,328,388,Resting,4
328,328,388,Resting,4
328,327,387,Resting,4
328,327,387,Resting,4
328,328,388,Resting,4
327,327,387,Resting,4
329,329,388,Resting,4
329,327,387,Resting,4
328,327,387,Resting,4
328,328,388,Resting,4
329,328,388,Resting,4
328,328,388,Resting,4
329,327,387,Resting,4
328,327,388,Resting,5
329,329,387,Resting,5
328,327,386,Resting,5
328,328,387,Resting,5
329,328,388,Resting,5
329,327,388,Resting,5
327,328,387,Resting,5
327,327,387,Resting,5
329,327,388,Resting,5
329,327,387,Resting,5
328,328,387,Resting,5
329,328,388,Resting,5
329,328,386,Resting,5
328,329,388,Resting,5
329,328,387,Resting,5
329,327,388,Resting,5
329,328,387,Resting,6
328,328,388,Resting,6
328,329,387,Resting,6
324,324,385,Resting,6
324,323,383,Resting,6
323,324,384,Resting,6
324,324,384,Resting,6
323,323,383,Resting,6
324,323,385,Resting,6
323,323,384,Resting,6
323,324,384,Resting,6
325,323,383,Resting,6
323,323,384,Resting,6
323,324,384,Resting,6
324,323,384,Resting,6
324,323,385,Resting,7
325,323,384,Resting,7
324,323,383,Resting,7
324,323,385,Resting,7
324,324,384,Resting,7
324,323,384,Resting,7
325,323,383,Resting,7
323,322,384,Resting,7
324,323,384,Resting,7
322,323,384,Resting,7
324,322,383,Resting,7
323,323,383,Resting,7
323,324,384,Resting,7
323,322,384,Resting,7
326,325,385,Resting,8
326,325,386,Resting,8
325,325,385,Resting,8
328,325,387,Resting,8
329,324,389,Resting,8
326,321,385,Resting,8
327,328,389,Resting,8
335,329,393,Resting,8
328,328,389,Resting,8
328,324,387,Resting,8
327,327,389,Resting,8
329,328,387,Resting,8
328,326,388,Resting,8
328,329,386,Resting,8
333,330,387,Walking,8
331,330,387,Walking,8
328,325,386,Walking,8
318,316,379,Walking,8
327,325,387,Walking,8
327,327,387,Walking,8
328,328,386,Walking,8
328,327,386,Walking,8
329,327,387,Walking,8
328,328,387,Walking,8
328,327,386,Walking,8
329,328,387,Walking,8
328,328,387,Walking,8
328,327,388,Walking,8
328,328,386,Walking,8
332,328,389,Walking,8
329,322,388,Walking,9
322,326,395,Walking,9
339,328,388,Walking,9
332,325,387,Walking,9
325,325,386,Walking,9
317,324,386,Walking,9
330,325,385,Walking,9
328,324,386,Walking,9
328,323,384,Walking,9
325,324,385,Walking,9
326,324,385,Walking,9
327,325,386,Walking,9
328,327,387,Walking,9
325,326,386,Walking,9
325,327,388,Walking,9
328,326,388,Walking,10
325,327,387,Walking,10
325,328,387,Walking,10
325,326,388,Walking,10
330,330,390,Walking,10
336,330,391,Walking,10
327,327,386,Walking,10
328,328,387,Walking,10
331,330,386,Walking,10
338,327,388,Walking,10
323,323,387,Walking,10
321,325,388,Walking,10
320,329,387,Walking,10
332,336,387,Walking,10
329,335,388,Walking,10
326,331,390,Walking,11
333,329,388,Walking,11
335,329,388,Walking,11
328,328,389,Walking,11
334,332,387,Walking,11
333,328,386,Walking,11
